Classification,Rate per week,Annual salary
Technical employee,,
Level 1,761.20,"39,580"
Level 2,790.80,"41,122"
Technician,,
Level 3,818.00,"42,536"
Level 4,862.50,"44,849"
Level 5,915.90,"47,627"
Level 6,966.70,"50,267"
Classification,Rate per week,Annual salary
Clerical and Administration Employee Level 1,791.30,"41,150"
Clerical and Administration Employee Level 2,818.50,"42,562"
Clerical and Administration Employee Level 3,862.50,"44,849"
Clerical and Administration Employee Level 4,940.90,"48,926"
Clerical and Administration Employee Level 5,1009.10,"52,471"
Classification,Rate per week,Annual salary
Salesperson Level 1,840.20,"43,692"
Salesperson Level 2,921.70,"47,929"
Salesperson Level 3,1066.50,"55,456"
