Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Transport Worker Grade 1,784.60,20.65
Transport Worker Grade 2,804.30,21.17
Transport Worker Grade 3,814.20,21.43
Transport Worker Grade 4,829.20,21.82
Transport Worker Grade 5,839.60,22.09
Transport Worker Grade 6,849.20,22.35
Transport Worker Grade 7,861.60,22.67
Transport Worker Grade 8,886.60,23.33
Transport Worker Grade 9,901.50,23.72
Transport Worker Grade 10,923.80,24.31
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Distribution facility employee level 1,814.20,21.43
Distribution facility employee level 2,829.20,21.82
Distribution facility employee level 3,861.60,22.67
Distribution facility employee level 4,901.50,23.72
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Transport Worker Grade 1,784.60,22.42
Transport Worker Grade 2,804.30,22.98
Transport Worker Grade 3,814.20,23.26
Transport Worker Grade 4,829.20,23.69
Transport Worker Grade 5,839.60,23.99
Transport Worker Grade 6,849.20,24.26
Transport Worker Grade 7,861.60,24.62
Transport Worker Grade 8,886.60,25.33
Transport Worker Grade 9,901.50,25.76
Transport Worker Grade 10,923.80,26.39
