Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Level 1,800.40,21.06
Level 2,803.90,21.16
Level 3,818.10,21.53
Level 4,841.40,22.14
Level 5,879.40,23.14
Level 6,902.50,23.75
Level 7,908.50,23.91
Level 8,947.30,24.93
Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Level 1,826.60,21.75
Level 2,862.50,22.70
Level 3,911.00,23.97
Level 4,956.70,25.18
Level 5,995.50,26.20
Level 6,1034.60,27.23
Level 7,1073.80,28.26
Level 8,1112.50,29.28
Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Aircraft Worker 1,740.80,19.49
Aircraft Worker 2,762.10,20.06
Aircraft Worker 3,791.30,20.82
Aircraft Worker 4,818.50,21.54
Tradesperson,862.50,22.70
Aircraft Maintenance Engineer,941.10,24.77
Full Category B1.1 Licence Holder,1009.00,26.55
Full Category B1.2 Licence Holder,1009.00,26.55
Full Category B1.3 Licence Holder,1009.00,26.55
Full Category B1.4 Licence Holder,1009.00,26.55
Full Category B2 Licence Holder,1009.00,26.55
Full Category B1/B2 Licence Holder,1009.00,26.55
Transitional Category B1.1 Licence Holder,1009.00,26.55
Transitional Category B1.2 Licence Holder,963.10,25.34
Transitional Category B1.3 Licence Holder,1009.00,26.55
Transitional Category B1.4 Licence Holder,963.10,25.34
Transitional Category B2 Licence Holder,1009.00,26.55
Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Level 1,787.40,20.72
Level 2,805.30,21.19
Level 3,826.40,21.75
Level 4,852.40,22.43
Level 5,883.60,23.25
Classification,per week for first Aircraft Type Rating Endorsement,per week for each additional Aircraft Type Rating Endorsement
Full Category B1.1 Licence Holder,172.50,43.13
Full Category B1.2 Licence Holder,129.38,43.13
Full Category B1.3 Licence Holder,172.50,43.13
Full Category B1.4 Licence Holder,129.38,43.13
Full Category B2 Licence Holder,215.63,43.13
Full Category B1/B2 Licence Holder,258.75,43.13
Classification,per week for first Aircraft Type Rating Endorsement,per week for each additional Aircraft Type Rating Endorsement
Transitional Category B1.1 Licence Holder,129.38,36.66
Transitional Category B1.2 Licence Holder,94.19,36.66
Transitional Category B1.3 Licence Holder,129.38,36.66
Transitional Category B1.4 Licence Holder,94.19,36.66
Transitional Category B2 Licence Holder,183.20,36.66
