Employee classification,Minimum weekly rate (full-time employee),Minimum hourly rate
Aluminium Worker Grade 1,768.00,20.21
Aluminium Worker Grade 2,805.90,21.21
Aluminium Worker Grade 3,837.00,22.03
Aluminium Worker Grade 4,862.50,22.70
Aluminium Worker Grade 5,920.20,24.22
Aluminium Worker Grade 6,980.00,25.79
Aluminium Worker Grade 7,1028.00,27.05
Aluminium Worker Grade 8,1069.80,28.15
Employee classification,Monday to Sunday,
Aluminium Worker Grade 1,42.46,
Aluminium Worker Grade 2,44.46,
Aluminium Worker Grade 3,46.10,
Aluminium Worker Grade 4,47.44,
Aluminium Worker Grade 5,50.48,
Aluminium Worker Grade 6,53.62,
Aluminium Worker Grade 7,56.14,
Aluminium Worker Grade 8,58.34,
