Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Storeworker grade 1—on commencement,791.30,20.82
Storeworker grade 1—after 3 months,801.30,21.09
Storeworker grade 1—after 12 months,810.90,21.34
Storeworker grade 2,818.40,21.54
Storeworker grade 3,842.50,22.17
Storeworker grade 4,867.20,22.82
Wholesale employee level 1—on commencement,791.30,20.82
Wholesale employee level 1—after 3 months,801.30,21.09
Wholesale employee level 1—after 12 months,810.90,21.34
Wholesale employee level 2,818.40,21.54
Wholesale employee level 3,842.50,22.17
Wholesale employee level 4,867.20,22.82
