Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Dry cleaning employee Level 1,740.80,19.49
Dry cleaning employee Level 2,762.10,20.06
Dry cleaning employee Level 3,773.10,20.34
Dry cleaning employee Level 4,818.50,21.54
Dry cleaning employee Level 5,862.50,22.70
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Laundry employee Level 1,751.20,19.77
Laundry employee Level 2,778.10,20.48
Laundry employee Level 3,810.80,21.34
Laundry employee Level 4,832.40,21.91
