Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,838.90,22.08
Pay point 2,853.10,22.45
Pay point 3,883.80,23.26
Pay point 4,911.90,24.00
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,965.80,25.42
Pay point 2,987.50,25.99
Pay point 3,1008.70,26.54
Pay point 4,1036.80,27.28
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,937.60,24.67
Pay point 2,965.80,25.42
Pay point 3,987.50,25.99
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,1008.70,26.54
Pay point 2,1036.80,27.28
Pay point 3,1065.00,28.03
Pay point 4,1093.10,28.77
Pay point 5 ,1118.70,29.44
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,1118.70,29.44
Pay point 2,1147.00,30.18
Pay point 3,1172.80,30.86
Pay point 4,1200.90,31.60
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,1118.70,29.44
Pay point 2,1147.00,30.18
Pay point 3,1172.80,30.86
Pay point 4,1200.90,31.60
Pay point 5,1229.10,32.34
Pay point 6,1257.20,33.08
Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Pay point 1,1285.30,33.82
Pay point 2,1313.60,34.57
Pay point 3,1341.80,35.31
Pay point 4,1369.80,36.05
Pay point 5,1398.00,36.79
